patcnty1,dsch_yr,Sex,Discharges,AnnotationCode,AnnotationDesc
Marin,2015,Male,8743,,
Marin,2015,"Other, Unknown, Invalid",4,,
Marin,2016,Female,11276,,
Marin,2016,Male,9083,,
Marin,2016,"Other, Unknown, Invalid",5,,
Marin,2017,Female,11263,,
Marin,2017,Male,9265,,
Marin,2018,Female,10686,,
Marin,2018,Male,8736,,
Marin,2018,"Unknown, Invalid",4,,
Marin,2019,Female,10159,,
Marin,2019,Male,8680,,
Marin,2020,Female,9113,,
Marin,2020,Male,7824,,
Marin,2020,"Unknown, Invalid",1,,
Marin,2021,Female,10125,,
Marin,2021,Male,8232,,
Marin,2021,"Unknown, Invalid",2,,
Marin,2022,Female,10334,,
Marin,2022,Male,8723,,
Marin,2022,"Unknown, Invalid",3,,
Marin,2023,Female,11128,,
Marin,2023,Male,9830,,
Marin,2023,"Unknown, Invalid",7,,
Mariposa,2012,Female,1045,,
Mariposa,2012,Male,827,,
Mariposa,2013,Female,879,,
Mariposa,2013,Male,738,,
Mariposa,2014,Female,938,,
Mariposa,2014,Male,747,,
Mariposa,2015,Female,1003,,
Mariposa,2015,Male,838,,
Mariposa,2016,Female,964,,
Mariposa,2016,Male,861,,
Mariposa,2017,Female,1017,,
Mariposa,2017,Male,858,,
Mariposa,2018,Female,1044,,
Mariposa,2018,Male,836,,
Mariposa,2019,Female,1033,,
Mariposa,2019,Male,819,,
Mariposa,2020,Female,937,,
Mariposa,2020,Male,746,,
Mariposa,2021,Female,981,,
Mariposa,2021,Male,743,,
Mariposa,2022,Female,960,,
Mariposa,2022,Male,793,,
Mariposa,2022,"Unknown, Invalid",1,,
Mariposa,2023,Female,1027,,
Mariposa,2023,Male,864,,
Mendocino,2012,Female,5537,,
Mendocino,2012,Male,4071,,
Mendocino,2013,Female,5384,,
Mendocino,2013,Male,4118,,
Mendocino,2013,"Other, Unknown, Invalid",1,,
Mendocino,2014,Female,5382,,
Mendocino,2014,Male,4128,,
Mendocino,2015,Female,5301,,
Mendocino,2015,Male,4208,,
Mendocino,2016,Female,5342,,
Mendocino,2016,Male,4253,,
Mendocino,2016,"Other, Unknown, Invalid",3,,
Mendocino,2017,Female,5523,,
Mendocino,2017,Male,4456,,
Mendocino,2018,Female,5432,,
Mendocino,2018,Male,4589,,
Mendocino,2018,"Unknown, Invalid",3,,
Mendocino,2019,Female,5338,,
Mendocino,2019,Male,4479,,
Mendocino,2020,Female,4954,,
Mendocino,2020,Male,4130,,
Mendocino,2021,Female,5020,,
Mendocino,2021,Male,4308,,
Mendocino,2022,Female,4975,,
Mendocino,2022,Male,4072,,
Mendocino,2023,Female,5008,,
Mendocino,2023,Male,4323,,
Merced,2012,Female,15304,,
Merced,2012,Male,10342,,
Merced,2012,"Other, Unknown, Invalid",3,,
Merced,2013,Female,14577,,
Merced,2013,Male,9855,,
Merced,2013,"Other, Unknown, Invalid",1,,
Merced,2014,Female,14174,,
Merced,2014,Male,9863,,
Merced,2014,"Other, Unknown, Invalid",1,,
Merced,2015,Female,16065,,
Merced,2015,Male,10880,,
Merced,2015,"Other, Unknown, Invalid",2,,
Merced,2016,Female,16483,,
Merced,2016,Male,11554,,
Merced,2016,"Other, Unknown, Invalid",6,,
Merced,2017,Female,17182,,
Merced,2017,Male,12343,,
Merced,2017,"Unknown, Invalid",3,,
Merced,2018,Female,17087,,
Merced,2018,Male,12185,,
Merced,2018,"Unknown, Invalid",1,,
Merced,2019,Female,16236,,
Merced,2019,Male,12009,,
Merced,2020,Female,14698,,
Merced,2020,Male,11145,,
Merced,2021,Female,15564,,
Merced,2021,Male,11744,,
Merced,2021,"Unknown, Invalid",9,,
Merced,2022,Female,15465,,
Merced,2022,Male,11651,,
Merced,2022,"Unknown, Invalid",2,,
Merced,2023,Female,15139,,
Merced,2023,Male,11953,,
Merced,2023,"Unknown, Invalid",3,,
Modoc,2012,Female,388,,
Modoc,2012,Male,356,,
